Item#,Total sales,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24
1176,7077,0.122,0.045,0.046,0.028,0.067,0.053,0.025,0.020,0.081,0.024,0.016,0.039,0.030,0.028,0.027,0.023,0.047,0.028,0.019,0.036,0.012,0.012,0.037,0.032
1177,4249,0.130,0.033,0.012,0.039,0.037,0.046,0.012,0.036,0.002,0.037,0.048,0.002,0.066,0.054,0.034,0.024,0.021,0.042,0.027,0.008,0.048,0.046,0.044,0.049
1178,4920,0.110,0.004,0.053,0.027,0.059,0.033,0.047,0.040,0.026,0.056,0.026,0.023,0.028,0.029,0.038,0.037,0.042,0.040,0.008,0.042,0.001,0.028,0.048,0.004
1179,3987,0.107,0.000,0.040,0.019,0.067,0.012,0.030,0.069,0.055,0.008,0.062,0.014,0.035,0.043,0.029,0.049,0.037,0.041,0.039,0.032,0.015,0.017,0.003,0.002
1180,4716,0.104,0.032,0.072,0.040,0.022,0.048,0.039,0.056,0.031,0.009,0.071,0.023,0.036,0.051,0.027,0.029,0.026,0.026,0.024,0.016,0.008,0.035,0.033,0.003
1181,3347,0.106,0.068,0.030,0.053,0.031,0.056,0.012,0.070,0.056,0.081,0.050,0.069,0.037,0.036,0.020,0.020,0.037,0.030,0.026,0.023,0.004,0.028,0.007,0.014
1182,5277,0.127,0.054,0.065,0.035,0.065,0.055,0.042,0.043,0.020,0.041,0.008,0.022,0.042,0.116,0.038,0.032,0.043,0.044,0.030,0.037,0.022,0.020,0.000,0.000
1183,3107,0.113,0.070,0.078,0.053,0.045,0.070,0.012,0.022,0.059,0.061,0.016,0.015,0.060,0.045,0.021,0.046,0.045,0.046,0.009,0.034,0.038,0.042,0.001,0.000
1184,4713,0.123,0.034,0.058,0.080,0.065,0.027,0.035,0.045,0.073,0.072,0.067,0.005,0.078,0.026,0.027,0.028,0.029,0.025,0.030,0.039,0.025,0.009,0.000,0.000
1185,4498,0.129,0.027,0.021,0.012,0.019,0.082,0.021,0.057,0.048,0.078,0.013,0.031,0.007,0.033,0.049,0.021,0.042,0.031,0.036,0.048,0.042,0.008,0.038,0.044
1186,3955,0.140,0.020,0.003,0.040,0.043,0.073,0.041,0.021,0.007,0.018,0.022,0.007,0.049,0.090,0.022,0.033,0.042,0.035,0.026,0.039,0.029,0.018,0.047,0.005
1187,5124,0.147,0.060,0.000,0.008,0.075,0.051,0.034,0.052,0.078,0.058,0.069,0.065,0.067,0.148,0.049,0.021,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1188,3479,0.122,0.066,0.055,0.073,0.058,0.021,0.048,0.062,0.081,0.000,0.043,0.004,0.059,0.024,0.024,0.049,0.040,0.038,0.021,0.004,0.005,0.015,0.025,0.028
1189,4321,0.109,0.028,0.030,0.054,0.030,0.026,0.069,0.063,0.060,0.010,0.054,0.020,0.029,0.074,0.023,0.032,0.025,0.027,0.028,0.037,0.047,0.013,0.023,0.005
1190,4612,0.107,0.083,0.065,0.013,0.043,0.043,0.013,0.045,0.047,0.027,0.036,0.032,0.062,0.021,0.048,0.024,0.034,0.038,0.014,0.049,0.016,0.017,0.046,0.022
1191,3818,0.105,0.007,0.061,0.076,0.029,0.030,0.064,0.039,0.030,0.014,0.030,0.058,0.081,0.025,0.036,0.031,0.027,0.027,0.034,0.035,0.030,0.038,0.026,0.049
1192,3501,0.142,0.023,0.041,0.077,0.041,0.014,0.033,0.009,0.035,0.051,0.027,0.078,0.048,0.063,0.020,0.026,0.031,0.027,0.006,0.029,0.027,0.046,0.017,0.042
1193,3461,0.144,0.060,0.031,0.061,0.023,0.034,0.073,0.068,0.008,0.012,0.013,0.000,0.051,0.044,0.024,0.028,0.034,0.048,0.012,0.046,0.017,0.015,0.007,0.026
1194,5009,0.133,0.024,0.001,0.048,0.024,0.031,0.030,0.060,0.005,0.034,0.046,0.074,0.034,0.045,0.024,0.024,0.031,0.029,0.007,0.032,0.019,0.005,0.041,0.029
1195,5231,0.106,0.067,0.049,0.082,0.082,0.077,0.045,0.041,0.022,0.081,0.010,0.055,0.060,0.008,0.021,0.049,0.021,0.047,0.000,0.040,0.026,0.003,0.006,0.000
1196,13570,0.126,0.024,0.070,0.049,0.000,0.069,0.052,0.083,0.032,0.022,0.000,0.069,0.028,0.230,0.022,0.032,0.035,0.043,0.012,0.002,0.000,0.000,0.000,0.000
1197,6362,0.129,0.053,0.070,0.035,0.019,0.018,0.071,0.004,0.053,0.045,0.000,0.011,0.049,0.101,0.031,0.041,0.036,0.021,0.028,0.013,0.028,0.013,0.039,0.041
1198,5520,0.116,0.072,0.038,0.011,0.074,0.052,0.055,0.033,0.049,0.065,0.040,0.048,0.037,0.125,0.024,0.042,0.033,0.022,0.001,0.020,0.042,0.000,0.000,0.000
1199,4360,0.148,0.074,0.022,0.065,0.026,0.032,0.047,0.054,0.017,0.024,0.063,0.054,0.011,0.033,0.033,0.049,0.027,0.043,0.034,0.023,0.049,0.021,0.047,0.002
1200,3205,0.126,0.047,0.021,0.074,0.063,0.041,0.074,0.059,0.026,0.060,0.071,0.047,0.046,0.039,0.043,0.032,0.027,0.047,0.025,0.021,0.009,0.000,0.000,0.000
1201,9986,0.119,0.053,0.024,0.030,0.042,0.052,0.011,0.035,0.044,0.004,0.068,0.057,0.082,0.080,0.038,0.045,0.043,0.027,0.045,0.006,0.050,0.021,0.025,0.000
1202,2707,0.119,0.064,0.037,0.060,0.058,0.048,0.051,0.071,0.032,0.016,0.001,0.075,0.073,0.110,0.021,0.032,0.039,0.047,0.011,0.035,0.000,0.000,0.000,0.000
1203,5234,0.137,0.004,0.070,0.016,0.080,0.003,0.053,0.072,0.057,0.067,0.024,0.030,0.028,0.041,0.049,0.029,0.029,0.022,0.006,0.009,0.045,0.039,0.008,0.038
1204,4010,0.149,0.047,0.008,0.045,0.075,0.045,0.021,0.045,0.065,0.030,0.062,0.042,0.051,0.045,0.031,0.028,0.031,0.032,0.048,0.022,0.048,0.001,0.016,0.012
1205,4565,0.100,0.031,0.008,0.045,0.022,0.015,0.065,0.082,0.080,0.014,0.062,0.055,0.077,0.014,0.035,0.025,0.041,0.049,0.031,0.005,0.026,0.041,0.045,0.000
1206,3118,0.136,0.004,0.031,0.021,0.011,0.003,0.043,0.017,0.010,0.067,0.057,0.020,0.043,0.023,0.041,0.050,0.047,0.031,0.044,0.040,0.010,0.042,0.005,0.028
1207,3546,0.108,0.070,0.061,0.005,0.024,0.068,0.064,0.017,0.072,0.076,0.044,0.079,0.059,0.041,0.026,0.028,0.040,0.035,0.048,0.021,0.013,0.000,0.000,0.000
1208,8725,0.104,0.060,0.012,0.061,0.002,0.071,0.061,0.024,0.052,0.081,0.003,0.060,0.031,0.054,0.049,0.027,0.031,0.046,0.017,0.023,0.033,0.019,0.049,0.029
1209,3509,0.135,0.044,0.080,0.061,0.075,0.004,0.044,0.067,0.061,0.043,0.008,0.055,0.065,0.018,0.034,0.036,0.023,0.042,0.015,0.010,0.022,0.009,0.004,0.034
1210,6280,0.130,0.026,0.021,0.043,0.005,0.006,0.074,0.034,0.040,0.019,0.046,0.052,0.031,0.018,0.050,0.047,0.036,0.036,0.044,0.031,0.005,0.036,0.002,0.040
1211,8003,0.128,0.071,0.035,0.073,0.071,0.038,0.033,0.016,0.056,0.001,0.034,0.077,0.033,0.083,0.026,0.045,0.025,0.027,0.031,0.031,0.001,0.044,0.005,0.016
1212,6812,0.126,0.005,0.044,0.081,0.023,0.044,0.032,0.030,0.044,0.052,0.013,0.007,0.062,0.067,0.028,0.037,0.025,0.023,0.017,0.008,0.018,0.018,0.020,0.015
1213,2867,0.135,0.040,0.065,0.061,0.080,0.016,0.026,0.014,0.045,0.080,0.077,0.056,0.076,0.007,0.048,0.036,0.036,0.030,0.043,0.003,0.023,0.000,0.000,0.000
1214,5382,0.123,0.022,0.050,0.071,0.015,0.077,0.026,0.025,0.010,0.002,0.060,0.012,0.043,0.035,0.028,0.034,0.049,0.023,0.028,0.012,0.029,0.015,0.050,0.010
1215,3540,0.133,0.030,0.064,0.032,0.002,0.072,0.006,0.010,0.016,0.015,0.075,0.007,0.077,0.032,0.046,0.023,0.032,0.035,0.048,0.012,0.027,0.042,0.032,0.028
1216,2868,0.121,0.029,0.059,0.050,0.070,0.023,0.006,0.010,0.023,0.008,0.046,0.032,0.056,0.332,0.046,0.045,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1217,4367,0.111,0.054,0.015,0.012,0.062,0.048,0.046,0.021,0.058,0.055,0.051,0.049,0.002,0.048,0.033,0.032,0.034,0.034,0.027,0.004,0.045,0.011,0.048,0.014
1218,4239,0.135,0.016,0.047,0.038,0.058,0.050,0.050,0.003,0.043,0.074,0.008,0.076,0.071,0.213,0.046,0.043,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1219,2938,0.103,0.041,0.062,0.044,0.012,0.064,0.036,0.007,0.047,0.044,0.042,0.046,0.062,0.137,0.037,0.026,0.044,0.021,0.040,0.027,0.042,0.014,0.003,0.000
1220,3770,0.145,0.004,0.071,0.045,0.049,0.038,0.052,0.069,0.053,0.011,0.034,0.041,0.003,0.096,0.032,0.027,0.048,0.035,0.024,0.021,0.025,0.004,0.035,0.038
1221,3913,0.107,0.052,0.073,0.032,0.039,0.038,0.042,0.024,0.011,0.071,0.005,0.033,0.045,0.128,0.048,0.025,0.027,0.041,0.035,0.008,0.008,0.015,0.047,0.045
1222,14137,0.106,0.000,0.063,0.018,0.046,0.070,0.061,0.057,0.027,0.010,0.077,0.080,0.012,0.049,0.048,0.048,0.037,0.040,0.017,0.042,0.033,0.030,0.006,0.022
1223,6561,0.113,0.032,0.046,0.079,0.031,0.070,0.032,0.047,0.072,0.070,0.063,0.067,0.032,0.137,0.042,0.030,0.029,0.007,0.000,0.000,0.000,0.000,0.000,0.000
1224,2892,0.114,0.068,0.004,0.027,0.019,0.010,0.069,0.001,0.045,0.059,0.049,0.015,0.044,0.230,0.048,0.021,0.045,0.025,0.019,0.033,0.048,0.008,0.000,0.000
1225,10206,0.146,0.080,0.004,0.013,0.079,0.028,0.014,0.045,0.024,0.074,0.080,0.068,0.006,0.064,0.031,0.048,0.021,0.048,0.032,0.045,0.002,0.003,0.030,0.014
1226,3770,0.129,0.038,0.013,0.044,0.053,0.071,0.001,0.016,0.044,0.023,0.029,0.064,0.047,0.015,0.032,0.027,0.041,0.039,0.043,0.033,0.011,0.007,0.011,0.031
1227,3110,0.114,0.050,0.068,0.058,0.041,0.062,0.068,0.033,0.063,0.019,0.044,0.026,0.013,0.089,0.045,0.030,0.033,0.027,0.016,0.024,0.009,0.046,0.024,0.000
1228,9705,0.101,0.065,0.001,0.019,0.052,0.024,0.022,0.080,0.027,0.068,0.016,0.030,0.019,0.117,0.044,0.045,0.026,0.038,0.022,0.013,0.000,0.003,0.026,0.025
1229,4573,0.150,0.041,0.058,0.036,0.063,0.051,0.003,0.010,0.065,0.057,0.060,0.026,0.001,0.086,0.030,0.049,0.049,0.021,0.048,0.013,0.015,0.035,0.001,0.031
1230,3994,0.145,0.023,0.016,0.039,0.017,0.034,0.004,0.056,0.082,0.076,0.071,0.003,0.064,0.046,0.028,0.031,0.021,0.035,0.022,0.049,0.028,0.034,0.005,0.011
1231,3864,0.114,0.078,0.032,0.032,0.011,0.059,0.035,0.036,0.066,0.012,0.062,0.070,0.025,0.008,0.045,0.030,0.026,0.039,0.038,0.004,0.009,0.049,0.001,0.000
1232,3030,0.111,0.021,0.023,0.039,0.064,0.034,0.008,0.070,0.059,0.074,0.063,0.054,0.069,0.056,0.033,0.031,0.033,0.031,0.046,0.050,0.022,0.007,0.004,0.000
1233,2962,0.109,0.024,0.050,0.078,0.067,0.070,0.059,0.013,0.039,0.047,0.076,0.052,0.069,0.031,0.022,0.040,0.049,0.041,0.033,0.030,0.000,0.000,0.000,0.000
1234,4443,0.120,0.079,0.060,0.056,0.040,0.052,0.060,0.017,0.058,0.029,0.037,0.065,0.035,0.112,0.049,0.020,0.032,0.022,0.013,0.044,0.000,0.000,0.000,0.000
1235,4701,0.129,0.017,0.044,0.019,0.010,0.075,0.062,0.059,0.037,0.059,0.052,0.071,0.055,0.023,0.048,0.039,0.028,0.046,0.026,0.044,0.026,0.032,0.000,0.000
1236,3603,0.117,0.022,0.008,0.037,0.038,0.031,0.029,0.069,0.049,0.006,0.013,0.027,0.020,0.074,0.027,0.026,0.030,0.035,0.022,0.021,0.021,0.039,0.023,0.036
1237,4670,0.143,0.051,0.052,0.033,0.062,0.047,0.007,0.062,0.042,0.008,0.052,0.048,0.049,0.140,0.038,0.031,0.032,0.035,0.018,0.026,0.023,0.000,0.000,0.000
1238,2849,0.121,0.025,0.083,0.069,0.007,0.042,0.039,0.082,0.044,0.050,0.073,0.069,0.016,0.159,0.047,0.049,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1239,3027,0.112,0.005,0.042,0.081,0.064,0.049,0.032,0.075,0.023,0.004,0.003,0.008,0.020,0.103,0.046,0.043,0.020,0.040,0.039,0.028,0.026,0.015,0.023,0.019
1240,3244,0.140,0.016,0.034,0.073,0.033,0.040,0.053,0.013,0.068,0.064,0.019,0.019,0.022,0.043,0.031,0.028,0.034,0.034,0.004,0.023,0.005,0.019,0.040,0.002
1241,5418,0.137,0.001,0.024,0.004,0.001,0.026,0.039,0.078,0.013,0.083,0.031,0.069,0.008,0.069,0.032,0.049,0.044,0.032,0.013,0.015,0.038,0.043,0.025,0.029
1242,3418,0.104,0.058,0.015,0.081,0.021,0.006,0.004,0.050,0.038,0.083,0.067,0.063,0.044,0.222,0.030,0.029,0.034,0.046,0.005,0.000,0.000,0.000,0.000,0.000
1243,4110,0.107,0.016,0.004,0.010,0.057,0.064,0.071,0.022,0.016,0.081,0.036,0.034,0.066,0.194,0.048,0.048,0.026,0.044,0.032,0.025,0.000,0.000,0.000,0.000
1244,3849,0.144,0.044,0.058,0.043,0.056,0.043,0.077,0.067,0.027,0.061,0.044,0.020,0.069,0.032,0.029,0.043,0.023,0.027,0.004,0.035,0.037,0.014,0.000,0.000
1245,3601,0.124,0.051,0.055,0.022,0.029,0.039,0.011,0.043,0.002,0.011,0.081,0.032,0.018,0.063,0.041,0.033,0.038,0.031,0.036,0.023,0.011,0.047,0.034,0.002
1246,4224,0.105,0.057,0.041,0.037,0.053,0.055,0.081,0.026,0.018,0.054,0.065,0.032,0.048,0.101,0.039,0.023,0.049,0.037,0.017,0.017,0.033,0.003,0.011,0.000
1247,4642,0.111,0.058,0.060,0.024,0.072,0.062,0.071,0.070,0.028,0.064,0.048,0.072,0.041,0.049,0.042,0.041,0.030,0.044,0.015,0.000,0.000,0.000,0.000,0.000
1248,6857,0.112,0.040,0.076,0.058,0.036,0.023,0.021,0.081,0.038,0.057,0.025,0.032,0.078,0.163,0.030,0.033,0.021,0.029,0.006,0.032,0.010,0.000,0.000,0.000
1249,6804,0.105,0.035,0.045,0.082,0.051,0.042,0.018,0.074,0.022,0.018,0.046,0.030,0.050,0.070,0.025,0.035,0.027,0.036,0.047,0.008,0.026,0.049,0.016,0.030
1250,3842,0.127,0.001,0.010,0.048,0.021,0.012,0.032,0.028,0.035,0.070,0.079,0.041,0.080,0.040,0.029,0.044,0.034,0.023,0.037,0.030,0.020,0.048,0.036,0.035
1251,4203,0.128,0.081,0.015,0.061,0.015,0.055,0.032,0.014,0.009,0.034,0.013,0.026,0.080,0.195,0.021,0.036,0.047,0.044,0.008,0.025,0.035,0.025,0.000,0.000
1252,6788,0.146,0.039,0.054,0.041,0.073,0.067,0.052,0.062,0.011,0.038,0.038,0.024,0.009,0.029,0.034,0.035,0.045,0.035,0.028,0.042,0.036,0.048,0.000,0.000
1253,6310,0.133,0.022,0.064,0.083,0.081,0.045,0.019,0.045,0.009,0.032,0.008,0.024,0.009,0.005,0.035,0.043,0.033,0.031,0.049,0.025,0.030,0.043,0.034,0.044
1254,3399,0.107,0.012,0.081,0.050,0.054,0.052,0.019,0.000,0.035,0.041,0.031,0.074,0.032,0.174,0.030,0.032,0.040,0.040,0.034,0.028,0.032,0.000,0.000,0.000
1255,4147,0.127,0.073,0.080,0.061,0.051,0.001,0.072,0.028,0.047,0.079,0.060,0.047,0.070,0.065,0.034,0.031,0.046,0.029,0.000,0.000,0.000,0.000,0.000,0.000
1256,7193,0.127,0.013,0.002,0.067,0.003,0.040,0.076,0.062,0.026,0.044,0.014,0.049,0.031,0.015,0.028,0.033,0.021,0.045,0.041,0.015,0.021,0.008,0.046,0.020
1257,4762,0.108,0.080,0.010,0.026,0.057,0.079,0.076,0.044,0.035,0.045,0.076,0.037,0.057,0.077,0.034,0.048,0.022,0.036,0.030,0.005,0.019,0.000,0.000,0.000
1258,5405,0.126,0.016,0.029,0.083,0.041,0.064,0.058,0.041,0.068,0.011,0.031,0.075,0.075,0.064,0.037,0.049,0.050,0.042,0.027,0.012,0.000,0.000,0.000,0.000
1259,4010,0.131,0.052,0.064,0.083,0.071,0.069,0.041,0.040,0.010,0.006,0.048,0.079,0.005,0.006,0.042,0.023,0.035,0.035,0.049,0.049,0.027,0.022,0.005,0.001
1260,3476,0.110,0.040,0.060,0.075,0.061,0.005,0.034,0.037,0.033,0.058,0.023,0.055,0.079,0.069,0.029,0.044,0.020,0.039,0.032,0.023,0.042,0.028,0.000,0.000
1261,2748,0.102,0.043,0.006,0.032,0.024,0.063,0.062,0.042,0.027,0.081,0.065,0.022,0.083,0.049,0.026,0.048,0.028,0.043,0.048,0.033,0.033,0.024,0.010,0.000
1262,6250,0.118,0.059,0.059,0.051,0.034,0.073,0.063,0.002,0.045,0.067,0.073,0.061,0.048,0.048,0.047,0.038,0.031,0.042,0.004,0.029,0.007,0.000,0.000,0.000
1263,3258,0.127,0.012,0.016,0.046,0.049,0.054,0.077,0.067,0.022,0.010,0.032,0.010,0.000,0.015,0.040,0.049,0.041,0.028,0.013,0.004,0.034,0.039,0.006,0.022
1264,4973,0.145,0.038,0.010,0.005,0.006,0.054,0.056,0.066,0.008,0.038,0.017,0.059,0.003,0.071,0.049,0.023,0.034,0.050,0.038,0.033,0.001,0.019,0.029,0.045
1265,4860,0.135,0.076,0.051,0.080,0.078,0.014,0.072,0.058,0.008,0.054,0.063,0.071,0.029,0.134,0.039,0.025,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1266,3135,0.115,0.043,0.043,0.013,0.028,0.067,0.047,0.019,0.049,0.009,0.070,0.063,0.009,0.070,0.035,0.024,0.045,0.043,0.007,0.021,0.044,0.019,0.022,0.050
1267,5149,0.104,0.065,0.010,0.044,0.034,0.001,0.002,0.044,0.074,0.034,0.048,0.021,0.008,0.043,0.044,0.042,0.041,0.049,0.027,0.000,0.041,0.040,0.001,0.034
1268,12560,0.112,0.017,0.043,0.032,0.037,0.018,0.012,0.024,0.011,0.053,0.074,0.054,0.040,0.095,0.022,0.027,0.041,0.031,0.014,0.018,0.044,0.004,0.025,0.017
1269,3790,0.109,0.054,0.035,0.019,0.037,0.054,0.013,0.046,0.036,0.016,0.052,0.067,0.036,0.004,0.024,0.025,0.031,0.023,0.013,0.027,0.006,0.003,0.035,0.004
1270,2962,0.106,0.032,0.065,0.046,0.007,0.045,0.027,0.031,0.049,0.075,0.059,0.024,0.045,0.127,0.024,0.021,0.028,0.030,0.006,0.041,0.015,0.021,0.010,0.023
1271,4066,0.149,0.023,0.030,0.019,0.028,0.018,0.015,0.020,0.058,0.041,0.073,0.079,0.065,0.115,0.030,0.029,0.041,0.035,0.017,0.035,0.032,0.032,0.012,0.002
1272,2933,0.140,0.018,0.043,0.053,0.072,0.060,0.043,0.003,0.078,0.073,0.058,0.030,0.019,0.007,0.029,0.042,0.031,0.045,0.047,0.037,0.003,0.002,0.041,0.026
1273,3553,0.103,0.081,0.049,0.007,0.022,0.032,0.031,0.038,0.069,0.082,0.015,0.057,0.019,0.059,0.030,0.043,0.030,0.025,0.009,0.032,0.040,0.027,0.014,0.031
1274,2938,0.105,0.079,0.041,0.059,0.004,0.053,0.055,0.050,0.052,0.079,0.064,0.055,0.006,0.014,0.020,0.026,0.025,0.039,0.042,0.016,0.046,0.001,0.043,0.010
1275,5565,0.108,0.033,0.020,0.072,0.052,0.014,0.041,0.017,0.040,0.059,0.078,0.038,0.036,0.010,0.038,0.039,0.021,0.042,0.040,0.028,0.031,0.014,0.027,0.013
1276,4775,0.123,0.080,0.007,0.069,0.014,0.010,0.073,0.018,0.075,0.023,0.017,0.018,0.055,0.058,0.050,0.029,0.038,0.039,0.039,0.018,0.035,0.031,0.017,0.044
1277,2925,0.108,0.072,0.028,0.009,0.055,0.060,0.057,0.052,0.052,0.057,0.036,0.045,0.013,0.020,0.029,0.038,0.031,0.034,0.047,0.035,0.044,0.031,0.036,0.010
1278,3401,0.120,0.034,0.027,0.061,0.047,0.052,0.080,0.028,0.042,0.022,0.014,0.077,0.013,0.011,0.041,0.029,0.024,0.034,0.012,0.016,0.014,0.032,0.014,0.048
1279,3026,0.144,0.060,0.068,0.011,0.073,0.006,0.021,0.034,0.069,0.072,0.079,0.038,0.024,0.055,0.040,0.035,0.043,0.041,0.019,0.000,0.021,0.034,0.010,0.000
1280,5433,0.106,0.023,0.062,0.014,0.016,0.053,0.065,0.030,0.071,0.056,0.049,0.007,0.033,0.072,0.047,0.043,0.026,0.022,0.024,0.040,0.015,0.008,0.011,0.016
1281,4041,0.102,0.045,0.049,0.072,0.059,0.029,0.053,0.043,0.067,0.050,0.018,0.080,0.045,0.028,0.023,0.034,0.021,0.044,0.026,0.008,0.023,0.002,0.007,0.018
1282,6362,0.104,0.060,0.001,0.063,0.000,0.073,0.065,0.058,0.012,0.022,0.071,0.001,0.059,0.015,0.036,0.034,0.050,0.049,0.013,0.032,0.036,0.049,0.032,0.003
1283,4220,0.126,0.038,0.061,0.021,0.015,0.030,0.021,0.037,0.010,0.078,0.016,0.066,0.072,0.036,0.036,0.031,0.050,0.034,0.026,0.020,0.043,0.036,0.005,0.032
1284,3422,0.102,0.033,0.036,0.002,0.079,0.007,0.070,0.073,0.052,0.025,0.000,0.081,0.061,0.070,0.022,0.023,0.043,0.046,0.026,0.022,0.043,0.046,0.028,0.000
1285,4363,0.145,0.050,0.061,0.057,0.019,0.035,0.034,0.066,0.020,0.026,0.036,0.018,0.021,0.055,0.044,0.048,0.044,0.037,0.039,0.040,0.025,0.034,0.043,0.001
1286,7436,0.142,0.018,0.053,0.076,0.036,0.082,0.048,0.062,0.072,0.045,0.046,0.019,0.013,0.032,0.021,0.039,0.039,0.033,0.021,0.005,0.010,0.025,0.015,0.023
1287,5771,0.129,0.029,0.021,0.048,0.053,0.015,0.008,0.035,0.075,0.002,0.044,0.075,0.027,0.089,0.035,0.028,0.021,0.041,0.029,0.018,0.003,0.025,0.013,0.013
1288,2713,0.108,0.047,0.067,0.000,0.007,0.026,0.024,0.074,0.083,0.040,0.000,0.017,0.011,0.130,0.021,0.029,0.037,0.041,0.034,0.025,0.010,0.034,0.035,0.049
1289,22230,0.131,0.054,0.027,0.079,0.050,0.043,0.037,0.000,0.032,0.033,0.001,0.026,0.020,0.083,0.027,0.048,0.041,0.046,0.047,0.020,0.030,0.011,0.038,0.009
1290,3520,0.142,0.003,0.047,0.071,0.047,0.022,0.050,0.023,0.025,0.078,0.022,0.071,0.044,0.065,0.047,0.021,0.046,0.043,0.047,0.015,0.018,0.004,0.013,0.000
1291,5672,0.104,0.037,0.077,0.068,0.059,0.027,0.081,0.082,0.021,0.063,0.020,0.034,0.051,0.278,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1292,6209,0.146,0.035,0.067,0.040,0.002,0.047,0.081,0.051,0.032,0.028,0.024,0.001,0.023,0.063,0.049,0.032,0.022,0.022,0.023,0.004,0.040,0.007,0.046,0.010
1293,5075,0.139,0.009,0.066,0.027,0.014,0.078,0.049,0.017,0.012,0.041,0.048,0.044,0.044,0.131,0.038,0.046,0.045,0.028,0.040,0.010,0.042,0.031,0.000,0.000
1294,4063,0.147,0.052,0.025,0.074,0.050,0.052,0.059,0.048,0.064,0.002,0.002,0.008,0.051,0.101,0.045,0.040,0.028,0.037,0.007,0.022,0.015,0.011,0.041,0.021
1295,3118,0.104,0.021,0.077,0.032,0.014,0.050,0.071,0.031,0.068,0.040,0.061,0.006,0.065,0.075,0.037,0.048,0.021,0.021,0.032,0.022,0.011,0.039,0.030,0.020
1296,2978,0.126,0.020,0.082,0.044,0.006,0.037,0.046,0.081,0.074,0.016,0.021,0.076,0.038,0.123,0.035,0.038,0.034,0.028,0.036,0.013,0.002,0.010,0.013,0.000
1297,3448,0.144,0.013,0.053,0.066,0.001,0.073,0.030,0.054,0.033,0.038,0.047,0.005,0.014,0.033,0.022,0.034,0.027,0.049,0.011,0.021,0.050,0.017,0.048,0.018
1298,4480,0.113,0.055,0.039,0.005,0.050,0.044,0.075,0.028,0.057,0.023,0.050,0.066,0.023,0.010,0.021,0.038,0.025,0.039,0.013,0.017,0.029,0.005,0.039,0.043
1299,3728,0.103,0.027,0.011,0.069,0.073,0.080,0.052,0.062,0.062,0.007,0.026,0.068,0.036,0.096,0.040,0.046,0.026,0.032,0.043,0.021,0.019,0.001,0.000,0.000
1300,3177,0.140,0.013,0.074,0.003,0.023,0.071,0.082,0.047,0.000,0.045,0.019,0.057,0.072,0.025,0.044,0.022,0.037,0.025,0.007,0.049,0.012,0.018,0.020,0.003
1301,6395,0.132,0.071,0.064,0.064,0.063,0.050,0.044,0.005,0.050,0.066,0.032,0.033,0.055,0.016,0.030,0.040,0.037,0.035,0.024,0.024,0.031,0.021,0.013,0.000
1302,3950,0.136,0.068,0.020,0.033,0.068,0.078,0.042,0.070,0.070,0.039,0.076,0.000,0.021,0.045,0.032,0.033,0.025,0.024,0.019,0.015,0.032,0.011,0.015,0.019
1303,3142,0.128,0.037,0.037,0.075,0.036,0.037,0.035,0.045,0.048,0.013,0.040,0.026,0.074,0.029,0.050,0.037,0.049,0.038,0.045,0.003,0.029,0.001,0.034,0.039
1304,5420,0.123,0.070,0.049,0.033,0.014,0.036,0.051,0.076,0.036,0.004,0.022,0.066,0.041,0.024,0.037,0.034,0.037,0.041,0.002,0.001,0.011,0.026,0.019,0.043
1305,4614,0.149,0.024,0.052,0.040,0.043,0.068,0.052,0.054,0.078,0.036,0.027,0.068,0.020,0.015,0.035,0.047,0.035,0.033,0.022,0.049,0.024,0.007,0.000,0.000
1306,5120,0.104,0.001,0.070,0.010,0.022,0.076,0.013,0.043,0.051,0.077,0.052,0.044,0.071,0.096,0.044,0.041,0.039,0.044,0.021,0.035,0.021,0.025,0.000,0.000
1307,7576,0.131,0.057,0.015,0.045,0.070,0.072,0.003,0.067,0.069,0.022,0.038,0.011,0.025,0.040,0.049,0.031,0.022,0.027,0.003,0.040,0.046,0.022,0.024,0.015
1308,6760,0.138,0.053,0.078,0.071,0.029,0.026,0.060,0.018,0.018,0.074,0.012,0.023,0.067,0.029,0.023,0.029,0.032,0.043,0.031,0.004,0.034,0.042,0.016,0.031
1309,3555,0.150,0.046,0.006,0.004,0.016,0.064,0.082,0.046,0.049,0.040,0.044,0.046,0.077,0.023,0.047,0.034,0.024,0.035,0.042,0.019,0.003,0.037,0.023,0.000
1310,4756,0.132,0.029,0.082,0.003,0.028,0.007,0.074,0.027,0.029,0.019,0.004,0.009,0.080,0.064,0.028,0.030,0.031,0.047,0.019,0.024,0.039,0.021,0.040,0.037
